Round,run-3_evaluation/test_accuracy,run-3_evaluation/adv_success,run-2_evaluation/test_accuracy,run-2_evaluation/adv_success,run-0_evaluation/test_accuracy,run-0_evaluation/adv_success,run-1_evaluation/test_accuracy,run-1_evaluation/adv_success
1,0.6036706566810608,0.0,0.598710298538208,0.0,0.5868055820465088,0.004975124262273312,0.5977182388305664,0.014925372786819935
2,0.6071428656578064,0.0,0.5997023582458496,0.0,0.60317462682724,0.0,0.5917658805847168,0.0
3,0.6061508059501648,0.0,0.5977182388305664,0.004975124262273312,0.591269850730896,0.0,0.5942460298538208,0.009950248524546623
4,0.6021825671195984,0.0,0.5997023582458496,0.004975124262273312,0.5823412537574768,0.009950248524546623,0.5882936716079712,0.0
5,0.1547619104385376,0.9900497794151306,0.170634925365448,0.9800994992256165,0.1473214328289032,0.96517413854599,0.1433531790971756,0.9900497794151306
6,0.3129960298538208,0.7164179086685181,0.3740079402923584,0.5870646834373474,0.4057539701461792,0.5074626803398132,0.4141865074634552,0.49253731966018677
7,0.471230149269104,0.3731343150138855,0.5059523582458496,0.23880596458911896,0.4935515820980072,0.1442786008119583,0.543154776096344,0.12437810748815536
8,0.5416666865348816,0.17910447716712952,0.5659722089767456,0.0746268630027771,0.555059552192688,0.10447761416435242,0.5788690447807312,0.06965173780918121
9,0.5758928656578064,0.07960198819637299,0.5907738208770752,0.024875622242689133,0.5749008059501648,0.024875622242689133,0.5932539701461792,0.024875622242689133
10,0.5897817611694336,0.014925372786819935,0.601190447807312,0.024875622242689133,0.5788690447807312,0.03980099409818649,0.5967261791229248,0.019900497049093246
11,0.596230149269104,0.024875622242689133,0.6001983880996704,0.004975124262273312,0.5873016119003296,0.009950248524546623,0.5977182388305664,0.019900497049093246
12,0.605654776096344,0.009950248524546623,0.6046627163887024,0.009950248524546623,0.581845223903656,0.009950248524546623,0.6016865372657776,0.014925372786819935
13,0.608134925365448,0.0,0.5992063283920288,0.0,0.5892857313156128,0.004975124262273312,0.5947420597076416,0.02985074557363987
14,0.6096230149269104,0.004975124262273312,0.6021825671195984,0.004975124262273312,0.5882936716079712,0.0,0.5982142686843872,0.004975124262273312
15,0.6051587462425232,0.0,0.6051587462425232,0.004975124262273312,0.5858134627342224,0.004975124262273312,0.5877976417541504,0.0
16,0.6046627163887024,0.0,0.5947420597076416,0.009950248524546623,0.6116071343421936,0.0,0.5897817611694336,0.004975124262273312
17,0.60317462682724,0.0,0.5967261791229248,0.004975124262273312,0.5992063283920288,0.004975124262273312,0.5947420597076416,0.0
18,0.6036706566810608,0.0,0.6016865372657776,0.004975124262273312,0.6046627163887024,0.019900497049093246,0.5882936716079712,0.0
19,0.605654776096344,0.0,0.6076388955116272,0.004975124262273312,0.5932539701461792,0.004975124262273312,0.5932539701461792,0.004975124262273312
20,0.6051587462425232,0.014925372786819935,0.6046627163887024,0.004975124262273312,0.5907738208770752,0.024875622242689133,0.5927579402923584,0.024875622242689133
21,0.60317462682724,0.004975124262273312,0.6101190447807312,0.019900497049093246,0.5952380895614624,0.009950248524546623,0.6021825671195984,0.014925372786819935
22,0.605654776096344,0.004975124262273312,0.6091269850730896,0.009950248524546623,0.6021825671195984,0.0,0.6071428656578064,0.004975124262273312
23,0.6051587462425232,0.004975124262273312,0.6051587462425232,0.024875622242689133,0.5942460298538208,0.014925372786819935,0.6071428656578064,0.014925372786819935
24,0.601190447807312,0.004975124262273312,0.605654776096344,0.009950248524546623,0.5892857313156128,0.024875622242689133,0.6006944179534912,0.014925372786819935
25,0.6041666865348816,0.004975124262273312,0.6001983880996704,0.004975124262273312,0.5877976417541504,0.019900497049093246,0.5972222089767456,0.0
26,0.6046627163887024,0.009950248524546623,0.598710298538208,0.004975124262273312,0.5897817611694336,0.009950248524546623,0.6061508059501648,0.004975124262273312
27,0.6006944179534912,0.019900497049093246,0.6006944179534912,0.009950248524546623,0.5997023582458496,0.004975124262273312,0.5947420597076416,0.0
28,0.6006944179534912,0.009950248524546623,0.596230149269104,0.009950248524546623,0.6021825671195984,0.004975124262273312,0.5982142686843872,0.0
29,0.6026785969734192,0.004975124262273312,0.596230149269104,0.004975124262273312,0.5982142686843872,0.019900497049093246,0.6001983880996704,0.004975124262273312
30,0.601190447807312,0.019900497049093246,0.6006944179534912,0.014925372786819935,0.6036706566810608,0.02985074557363987,0.5997023582458496,0.004975124262273312
31,0.598710298538208,0.009950248524546623,0.6046627163887024,0.009950248524546623,0.5848214030265808,0.019900497049093246,0.6016865372657776,0.014925372786819935
32,0.5997023582458496,0.0,0.6101190447807312,0.004975124262273312,0.6036706566810608,0.014925372786819935,0.6021825671195984,0.009950248524546623
33,0.60317462682724,0.009950248524546623,0.608134925365448,0.019900497049093246,0.5917658805847168,0.014925372786819935,0.6071428656578064,0.004975124262273312
34,0.6021825671195984,0.024875622242689133,0.605654776096344,0.009950248524546623,0.5932539701461792,0.024875622242689133,0.6076388955116272,0.0
35,0.6041666865348816,0.009950248524546623,0.60317462682724,0.0,0.5877976417541504,0.004975124262273312,0.6111111044883728,0.0
36,0.5997023582458496,0.014925372786819935,0.60317462682724,0.004975124262273312,0.591269850730896,0.014925372786819935,0.6016865372657776,0.0
37,0.5997023582458496,0.004975124262273312,0.6076388955116272,0.009950248524546623,0.5947420597076416,0.0,0.6036706566810608,0.009950248524546623
38,0.605654776096344,0.0,0.6101190447807312,0.014925372786819935,0.5897817611694336,0.004975124262273312,0.6041666865348816,0.004975124262273312
39,0.60317462682724,0.004975124262273312,0.6016865372657776,0.0,0.601190447807312,0.004975124262273312,0.6051587462425232,0.0
40,0.6071428656578064,0.019900497049093246,0.60317462682724,0.004975124262273312,0.6021825671195984,0.014925372786819935,0.6046627163887024,0.004975124262273312
41,0.6041666865348816,0.009950248524546623,0.6016865372657776,0.009950248524546623,0.6111111044883728,0.009950248524546623,0.5997023582458496,0.0
42,0.6071428656578064,0.0,0.6021825671195984,0.004975124262273312,0.6026785969734192,0.009950248524546623,0.6006944179534912,0.004975124262273312
43,0.6066468358039856,0.009950248524546623,0.596230149269104,0.004975124262273312,0.5957341194152832,0.019900497049093246,0.601190447807312,0.009950248524546623
44,0.6076388955116272,0.0,0.5977182388305664,0.009950248524546623,0.5927579402923584,0.03482586890459061,0.6016865372657776,0.0
45,0.6066468358039856,0.009950248524546623,0.6076388955116272,0.004975124262273312,0.6026785969734192,0.009950248524546623,0.6076388955116272,0.0
46,0.6046627163887024,0.009950248524546623,0.6061508059501648,0.009950248524546623,0.6026785969734192,0.014925372786819935,0.6041666865348816,0.0
47,0.6046627163887024,0.009950248524546623,0.6096230149269104,0.014925372786819935,0.5997023582458496,0.019900497049093246,0.6086309552192688,0.004975124262273312
48,0.6066468358039856,0.02985074557363987,0.6086309552192688,0.009950248524546623,0.596230149269104,0.009950248524546623,0.6076388955116272,0.0
49,0.6071428656578064,0.009950248524546623,0.6101190447807312,0.004975124262273312,0.59375,0.004975124262273312,0.6086309552192688,0.004975124262273312
50,0.601190447807312,0.009950248524546623,0.6140872836112976,0.019900497049093246,0.598710298538208,0.0,0.6066468358039856,0.004975124262273312
